"client_id","age","gender_code","directory","amrg_eop","acsh_eop","acrd_eop","pcur_eop","pcrd_eop","psav_eop","pdep_eop","swork_s","tpos_s","retail_cost","auto_cost","calls_cost","communal_cost","gos_cost","personal_cost","shops_cost","rent_cost","contract_cost","transport_cost","building_cost","prof_cost","business_cost","constributions_cost","avia_cost","vendors_cost","hotels_cost","pleasure_cost","finance_cost","other_cost","transactions_count","clothes_cost","auto_count","calls_count","communal_count","gos_count","personal_count","shops_count","clothes_count","rent_count","contract_count","transport_count","building_count","prof_count","business_count","constributions_count","avia_count","vendors_count","hotels_count","pleasure_count","finance_count","other_count","retail_count"
17,37,"М","Тула",0.0,527960.7,72350.63,0.0,115081.98,20042.62,0.0,58002.35,72356.84,26482.150000000005,389.0,11869.69,0,0,0,268.0,0,320.0,0,3000.0,18266.0,0,0,0,0,0,0,0,0,25,0,1,5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
18,46,"М","Санкт-Петербург",3060733.22,0.0,0.0,769.25,418248.36,952407.97,0.0,122969.08,61258.22,36008.200000000004,4667.46,0,1248.56,0,0,0,0,5000.0,0,7010.0,0,0,0,0,0,0,1470.0,0,0,47,0,5,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,20
19,44,"Ж","Тула",0.0,1621900.0,0.0,1541.2,947885.71,0.0,0.0,94530.33,94402.0,0,0,0,0,0,0,4402.0,0,0,0,90000.0,0,0,0,0,0,0,0,0,340599.0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,43,"М","Тула",0.0,1829231.78,0.0,0.0,64356.5,0.0,0.0,1139801.14,307656.41,44011.67,30457.5,0,500.0,3696.25,0,20035.0,0,587.0,0,0,0,0,0,0,14920.0,14920.0,5680.0,0,59.0,122,0,21,0,1,3,0,2,0,0,2,0,0,0,0,0,0,2,2,7,0,1,10
21,49,"М","Москва",0.0,240304.88,0.0,59.55,24580.49,0.0,0.0,139638.36,51667.19,25264.5,5170.8,7667.83,8755.060000000001,0,0,0,0,0,0,0,300.0,0,0,1430.0,0,0,0,0,0,57,0,5,6,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,31
22,36,"М","Тула",0.0,192016.32,0.0,0.0,54989.51,0.0,0.0,66504.34,53494.39,29900.550000000007,1199.75,0,0,0,0,4200.0,0,0,0,0,85.0,0,0,5550.0,0,0,0,0,17500.0,102,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,67
23,55,"М","Новый Уренгой",0.0,469269.73,0.0,29676.54,948322.23,0.0,0.0,235205.32,65125.45,18228.92,4357.8,0,2210.0,2100.0,0,0,0,19606.0,0,0,4344.0,0,0,0,0,0,0,0,0.0,76,0,3,0,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21
24,49,"М","Тула",0.0,140985.92,0.0,0.0,143345.86,0.0,0.0,89848.14,58097.42,34581.16,4237.5,0,0,0,0,0,0,780.0,0,0,0,0,0,0,0,0,200.0,0,0,91,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,54
25,55,"М","Санкт-Петербург",6781525.0,0.0,0.0,167.44,360324.72,0.0,0.0,539721.24,398901.38,28343.88,3278.7799999999997,0,9382.2,2476.25,4260.0,29027.0,0,9366.1,0,218370.0,0,0,0,1419.0,0,0,0,0,0,148,0,3,0,5,2,5,4,0,0,11,0,2,0,0,0,19,0,0,0,0,0,45
26,45,"Ж","Тула",0.0,0.0,367644.99,0.0,2649.28,0.0,0.0,60540.15,55645.22,19415.28,0,0,0,0,0,17352.0,0,0,0,0,0,0,0,0,0,0,11714.95,0,20051.33,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,22
27,39,"М","Воронеж",0.0,0.0,153102.96,161.86,39539.98,0.0,0.0,113593.38,78493.1,30091.860000000004,13319.519999999997,0,0,703.5,0,0,0,6593.0,400.0,0,0,0,0,16854.0,0,0,0,0,0,84,0,8,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,36
28,51,"М","Новый Уренгой",0.0,741458.16,0.0,41.46,214071.96,0.0,0.0,246367.71,81079.88,6919.419999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
29,41,"М","Тула",0.0,0.0,199356.49,1.3,277565.66,0.0,0.0,262382.54,193589.97,32759.24,0,0,0,9814.86,1000.0,0,0,1007.62,5126.83,2000.0,2488.0,33300.0,0,0,17498.510000000002,17498.510000000002,7050.24,0,21826.57,62,0,0,0,0,6,1,0,0,0,2,2,1,2,5,0,0,3,3,5,0,4,10
30,44,"Ж","Новый Уренгой",0.0,542544.57,0.0,0.0,40901.18,0.0,0.0,154810.69,51910.14,8328.579999999998,970.0,0,16687.0,0,3170.0,998.0,0,1077.0,0,0,7350.0,0,0,0,0,0,1440.0,0,0,35,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,16
63,34,"М","Москва",0.0,0.0,109350.98,0.0,0.0,600000.0,0.0,462666.2,110817.68,19033.480000000003,0,0,0,0,1400.0,0,0,11700.0,0,0,0,0,10610.0,0,14400.0,14400.0,0,1465.91,0,52,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,1,1,0,1,0,18
31,46,"М","Краснодар",0.0,2602405.0,490000.95,0.0,53763.62,0.0,0.0,216652.28,163724.08,51327.48999999999,2298.0,0,0,0,3000.0,21487.4,0,6825.950000000001,0,1080.0,123.08,0,2006.0,0,38475.0,38475.0,798.0,0,0,52,0,7,0,0,0,1,3,0,0,5,0,1,1,0,1,0,4,4,2,0,0,10
32,40,"Ж","Краснодар",3823740.0,0.0,0.0,148.83,29780.4,0.0,0.0,120261.08,102076.15,62770.83,4318.3,0,0,0,0,11739.0,0,0,0,5690.0,130.0,0,0,0,0,0,300.0,0,0,62,0,3,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,1,0,0,26
33,48,"Ж","Краснодар",0.0,369285.47,0.0,0.0,5389.71,0.0,0.0,69077.03,55426.24,6985.0,0,0,0,0,0,4047.0,0,0,0,4699.0,0,0,0,0,0,0,0,0,2405.0,31,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,10
34,44,"М","Ставрополь",0.0,1339631.9,0.0,0.0,50457.76,0.0,0.0,105544.73,154485.89,59235.799999999996,14540.0,0,0,0,0,14997.0,0,0,0,0,0,0,0,1932.0,0,0,0,0,42000.0,108,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,1,60
35,37,"М","Санкт-Петербург",7345600.0,0.0,0.0,500.0,970561.38,0.0,0.0,290835.63,121883.19,37339.96000000001,7807.14,0,2000.0,0,1886.0,7227.0,0,3290.0,3730.0,0,150.0,0,10405.0,0,0,0,979.0,0,0,186,0,8,0,5,0,2,6,0,0,1,1,0,1,0,1,0,0,0,1,0,0,83
36,55,"М","Краснодар",0.0,288203.24,0.0,0.0,45190.72,0.0,0.0,53797.63,72611.65,41815.950000000004,3789.4,0,10688.0,0,0,4485.0,0,0,0,0,0,0,0,304.0,0,0,0,0,0,107,0,7,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76
37,52,"М","Воронеж",0.0,395357.99,0.0,0.0,90955.63,0.0,0.0,82078.21,62160.68,22388.93,4816.5,0,550.0,8151.0,0,17890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
38,32,"М","Новый Уренгой",3480660.0,1149938.52,0.0,86921.7,43544.55,0.0,0.0,265144.4,273776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,43,"М","Краснодар",2779528.75,0.0,19980.61,4.64,17233.68,0.0,400000.0,53007.1,61442.11,32271.32,2038.0,0,0,0,0,400.0,0,50.0,0,0,0,0,0,0,0,0,700.0,3875.85,0,183,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,117
40,44,"М","Новый Уренгой",0.0,479411.06,0.0,0.03,19086.84,0.0,0.0,269187.39,197778.36,29798.290000000005,1700.0,0,200.0,502.5,0,3910.0,0,240.0,0,2000.0,0,0,0,0,0,0,399.0,0,0,123,0,2,0,1,1,0,1,0,0,8,0,1,0,0,0,0,0,0,1,0,0,36
41,59,"М","Москва",945970.03,0.0,0.0,0.26,368588.89,711192.15,0.0,157643.7,59126.82,5205.480000000001,3176.57,0,5058.780000000001,0,0,7110.0,0,1000.0,0,1000.0,0,0,0,0,0,0,0,0,0,23,0,2,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
42,37,"М","Москва",4312048.0,0.0,0.0,0.0,51814.31,75000.39,0.0,174834.06,88895.02,20713.84,585.37,0,0,5941.5199999999995,900.0,3870.0,0,0,0,0,798.0,0,0,0,24750.0,24750.0,200.0,0,0,110,0,3,0,0,2,1,4,0,0,0,0,0,1,0,0,0,1,1,2,0,0,69
43,50,"М","Краснодар",0.0,244890.33,0.0,0.0,51877.03,0.0,0.0,156848.18,69921.09,29700.579999999998,12970.0,1017.41,1299.0,0,0,0,0,0,0,2100.0,30.0,0,0,0,0,0,0,0,0,42,0,8,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,20
44,46,"Ж","Краснодар",0.0,534751.6,0.0,0.0,507575.08,0.0,0.0,117058.23,60289.51,27616.370000000003,5193.6,0,0,0,0,11831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
45,45,"Ж","Тула",0.0,257410.65,0.0,100.5,44097.79,620510.5,1001000.0,89214.65,243972.32,70949.25000000001,0,0,0,0,0,54748.0,4000.0,8022.0,0,0,0,0,0,0,0,0,180.0,0,0,87,0,0,0,0,0,0,9,0,1,4,0,0,0,0,0,0,0,0,1,0,0,54
46,48,"М","Краснодар",0.0,285342.22,18097.17,1.03,10645.16,0.0,0.0,148000.3,63888.39,12627.579999999998,3654.0,0,0,0,0,31575.0,0,0,0,0,0,0,0,0,0,0,0,0,1918.56,33,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
47,47,"М","Краснодар",6100000.0,0.0,0.0,66.01,568784.42,0.0,2439733.8,166943.15,81825.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61837.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,36,"М","Новый Уренгой",4474746.28,1457636.3,0.0,0.0,199202.03,0.0,0.0,185218.07,157698.54,37156.85999999999,21758.170000000002,0,0,0,0,7731.0,0,0,0,0,0,0,0,0,0,0,1200.0,0,0,120,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81
49,45,"М","Краснодар",0.0,105000.0,0.0,0.0,48349.8,0.0,0.0,66535.99,53479.55,40227.36,7180.0,0,0,2890.29,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
50,58,"М","Краснодар",0.0,537742.37,0.0,0.07,204469.73,0.0,0.0,327365.76,78891.76,58217.72000000001,2000.21,0,5098.97,1400.0,0,0,0,0,0,0,0,0,0,0,1299.0,1299.0,0,0,0,93,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,59
51,37,"М","Краснодар",0.0,721544.22,0.0,0.0,9497.35,20000.0,0.0,54240.83,98602.34,85245.54999999999,6293.84,0,1200.0,0,0,0,0,1880.0,0,0,450.0,0,0,0,0,0,0,0,0,62,0,4,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,28
52,37,"М","Краснодар",2526500.0,0.0,0.0,0.74,31358.53,0.0,0.0,77635.61,87113.68,25686.31,7238.790000000001,0,7347.5,1391.25,0,5192.0,0,56.0,1000.0,1388.0,0,0,0,78.5,0,0,2229.0,0,0,252,0,5,0,7,2,0,4,0,0,2,1,2,0,0,0,1,0,0,7,0,0,77
53,56,"М","Красноярск",0.0,707286.09,0.0,26.33,3483.4,0.0,0.0,118730.84,51619.18,6739.1900000000005,0,3487.61,13598.0,0,12143.880000000001,0,0,8212.5,0,0,0,0,0,0,1000.0,1000.0,0,0,0,53,0,0,1,8,0,14,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,14
54,55,"М","Краснодар",0.0,306843.03,54826.94,0.0,12404.18,0.0,0.0,74906.5,60545.23,37299.11,8898.57,7082.549999999999,750.0,937.0,0,0,0,0,563.0,0,0,0,0,0,0,0,0,0,2876.57,70,0,12,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,40
55,53,"М","Краснодар",1255432.23,0.0,0.0,0.0,60965.32,0.0,0.0,69849.72,68365.68,20619.790000000005,1224.43,0,0,0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,86,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56
56,37,"М","Новый Уренгой",0.0,169619.62,0.0,0.0,117246.45,0.0,0.0,229406.25,97841.95,27612.67,1068.03,0,0,0,0,2775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
57,60,"М","Краснодар",0.0,270108.7,0.0,206.23,38041.32,0.0,0.0,105368.02,59206.39,8996.44,7338.95,0,500.0,0,0,15600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
58,38,"Ж","Краснодар",3997182.6,0.0,0.0,0.0,4768.08,2193465.58,1036675.61,144645.98,220175.18,44317.96,5990.87,0,0,0,0,6359.0,3028.0,10398.399999999998,0,54667.0,3820.0,0,0,0,7580.0,7580.0,3181.0,0,0,103,0,2,0,0,0,0,5,0,1,6,0,8,4,0,0,0,2,2,1,0,0,37
59,42,"М","Новый Уренгой",0.0,817042.48,0.0,0.0,2346824.54,0.0,0.0,376167.85,169786.7,169786.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
60,43,"Ж","Новый Уренгой",0.0,0.0,150119.8,0.0,15541.11,1416433.15,0.0,146813.51,60788.12,27410.39,0,0,0,747.07,0,12781.0,0,0,0,4720.0,4000.0,0,0,1350.0,0,0,0,0,0,66,0,0,0,0,2,0,3,0,0,0,0,6,1,0,0,3,0,0,0,0,0,43
61,34,"М","Краснодар",0.0,1197131.31,0.0,0.0,103441.06,0.0,0.0,121093.3,61305.78,30262.480000000007,3048.23,0,14651.0,0,0,1598.0,0,0,0,0,230.0,0,0,8750.0,0,0,0,0,84000.0,55,0,6,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,37
62,51,"М","Краснодар",0.0,0.0,118949.7,0.45,886976.82,1321740.73,6435059.96,619942.08,188692.97,43826.58,1533.0,176.57,0,0,0,3499.0,0,17470.72,0,0,0,0,0,0,0,0,100.0,120000.0,0,45,0,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,1,0,17
64,41,"М","Калининград",4935610.0,0.0,0.0,0.0,75837.62,1555775.75,0.0,56934.05,184912.43,57068.78,22475.9,0,3346.94,0,3900.0,35772.0,0,814.0,0,1890.0,2880.0,0,0,0,3215.0,3215.0,798.0,16243.37,172.0,197,0,6,0,6,0,2,8,0,0,4,0,1,8,0,0,0,1,1,2,1,8,93
65,46,"М","Пермь",0.0,1957953.44,0.0,0.83,1105522.88,0.0,0.0,989526.17,352398.09,33927.369999999995,2801.8,0,3000.0,0,0,10797.0,0,43855.8,0,25.0,50.0,0,0,0,0,0,0,0,0,74,0,1,0,2,0,0,1,0,0,10,0,1,1,0,0,0,0,0,0,0,0,27
66,49,"М","Новый Уренгой",0.0,653929.11,0.0,0.0,348885.73,0.0,0.0,140183.82,83171.94,29658.899999999998,0,0,449.0,0,0,13335.0,0,0,0,0,210.2,0,0,0,0,0,0,0,0,64,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36
67,49,"М","Краснодар",0.0,828373.5,0.0,0.0,11419.94,0.0,0.0,81903.36,121249.31,43798.030000000006,2372.05,0,146.65,1450.0,400.0,0,0,9305.25,0,0,0,0,16290.0,0,21640.0,21640.0,1200.0,0,0,111,0,2,0,1,2,1,0,0,0,23,0,0,0,0,1,0,2,2,3,0,0,44
68,43,"М","Ростов-на-Дону",0.0,310378.02,0.0,0.0,52176.18,0.0,0.0,155083.4,56996.86,39821.619999999995,1654.04,0,0,0,0,7769.0,0,3596.2,0,0,0,0,0,0,0,0,0,0,0,93,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,71
69,48,"М","Южно-Сахалинск",0.0,684398.85,0.0,0.0,139564.77,126343.92,0.0,248165.64,104401.19,66663.84999999999,1796.95,0,3115.35,0,3000.0,5720.0,460.0,0,0,3415.0,0,0,0,0,0,0,0,0,655.0,81,0,3,0,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,55
70,26,"М","Москва",0.0,1171423.72,0.0,0.0,3830.52,0.0,0.0,68807.03,57425.64,23225.829999999998,16503.140000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
71,37,"М","Москва",6475878.47,537765.08,92887.1,11.9,78071.77,0.0,0.0,197071.77,110649.06,21394.74,16101.140000000001,30.0,8077.990000000001,2209.3,0,12748.0,0,1268.0,35147.5,2450.0,0,0,0,0,0,0,0,0,0,93,0,9,1,5,3,0,4,0,0,7,1,1,0,0,0,0,0,0,0,0,0,49
72,47,"Ж","Югорск",0.0,342656.96,380029.63,0.0,22642.3,0.0,0.0,51362.77,232830.48,20867.13,1499.81,6622.71,1402.54,0,0,25124.739999999998,0,14403.950000000003,0,5140.0,0,0,0,26026.0,0,0,0,0,0,68,0,1,13,1,0,0,5,0,0,15,0,1,0,0,0,1,0,0,0,0,0,12
73,47,"М","Москва",0.0,437416.84,0.0,0.0,17800.0,0.0,0.0,60173.64,51918.7,9247.43,5676.22,4170.05,0,0,0,7796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
74,53,"М","Москва",0.0,2541740.7,533052.12,0.0,508610.97,0.0,0.0,548576.61,86490.31,80610.0,2880.31,0,0,0,0,0,0,3000.0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
75,50,"Ж","Санкт-Петербург",5973568.0,0.0,0.0,654206.04,24186.44,3621725.29,0.0,228341.0,160822.29,117834.67000000001,10321.0,0,6367.42,0,0,999.0,0,3736.3,0,1135.0,0,0,0,0,0,0,0,0,0,110,0,6,0,6,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,56
76,54,"Ж","Москва",0.0,0.0,380532.74,526246.18,180574.08,0.0,0.0,528298.62,148607.63,54664.86,5566.0599999999995,0,3205.94,5239.0,0,3809.0,0,2643.63,0,0,100.0,270.0,13615.0,0,0,0,0,0,24964.23,95,0,3,0,2,1,0,3,0,0,6,0,0,1,1,3,0,0,0,0,0,1,46
77,61,"М","Москва",0.0,0.0,114240.38,106.7,148629.46,0.0,0.0,124998.2,117775.0,0,0,0,0,0,0,0,0,6775.0,0,111000.0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
78,51,"Ж","Томск",599387.4,0.0,79485.07,36630.17,62448.26,0.0,175320.18,99998.24,80496.9,21552.910000000003,999.8,0,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4168.0,0,0,51,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30
79,42,"М","Санкт-Петербург",0.0,1177391.65,593981.31,165.58,136160.49,0.0,0.0,802681.85,319139.5,48903.0,8469.1,0,0,400.0,1590.0,1680.0,0,50.0,7650.0,1542.7,1105.0,0,0,0,0,0,1350.0,500.0,32486.4,48,0,3,0,0,1,2,2,0,0,1,5,2,2,0,0,0,0,0,2,1,1,5
80,36,"Ж","Ставрополь",0.0,1342562.96,0.0,0.0,50165.26,0.0,0.0,74703.37,54732.39,2604.39,0,0,0,1507.5,0,11094.0,0,13085.0,0,0,0,0,0,0,0,0,0,22889.0,0,24,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,2,0,8
81,62,"М","Москва",0.0,117128.91,0.0,0.0,308797.67,0.0,0.0,106670.43,68637.74,0,0,0,647.49,0,0,0,0,67252.25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
82,55,"М","Самара",1380425.61,0.0,0.0,20.05,42247.62,0.0,0.0,59931.52,53318.47,12847.020000000002,2153.25,0,0,0,210.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
83,48,"М","Санкт-Петербург",522628.22,0.0,0.0,10.01,61103.37,335000.0,0.0,251423.66,123671.52,47475.33,3524.79,0,3845.6,0,0,21314.0,0,32891.0,0,0,150.0,0,0,0,0,0,0,0,0,78,0,2,0,7,0,0,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,37
